"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create a new device using Bearer token and set DEVICE_ID as suite variable","402","Create Device With Token","","Thu Jun 19 09:28:05 WAT 2025","passed","Thu Jun 19 09:28:06 WAT 2025","API TVC","Tests","",""
"Update AI Subscription","1216","Update AI Subscription","","Thu Jun 19 09:28:11 WAT 2025","passed","Thu Jun 19 09:28:12 WAT 2025","API TVC","Tests","",""
"Update Cloud Drive For Customer","1217","Update Cloud Drive For Customer","","Thu Jun 19 09:28:07 WAT 2025","passed","Thu Jun 19 09:28:08 WAT 2025","API TVC","Tests","",""
"Get Cloud Drive Informations","1206","Get Cloud Drive Informations","","Thu Jun 19 09:28:08 WAT 2025","passed","Thu Jun 19 09:28:10 WAT 2025","API TVC","Tests","",""
"Login to retrieve Bearer Token and store it","450","Login And Set Bearer Token","","Thu Jun 19 09:28:05 WAT 2025","passed","Thu Jun 19 09:28:05 WAT 2025","API TVC","Tests","",""
"Get Device List","1233","Get Device List","","Thu Jun 19 09:28:13 WAT 2025","passed","Thu Jun 19 09:28:14 WAT 2025","API TVC","Tests","",""
"Create AI Subscription","1229","Create AI Subscription","","Thu Jun 19 09:28:10 WAT 2025","passed","Thu Jun 19 09:28:11 WAT 2025","API TVC","Tests","",""
"Get Ai Subscription Informations","1211","Get Ai Subscription Informations","","Thu Jun 19 09:28:12 WAT 2025","passed","Thu Jun 19 09:28:13 WAT 2025","API TVC","Tests","",""
"Get Url Connect As Installer","1194","Get Url Connect As Installer","","Thu Jun 19 09:28:14 WAT 2025","passed","Thu Jun 19 09:28:16 WAT 2025","API TVC","Tests","",""
"Create CSV file with headers if it doesn't exist","11","Initialize CSV Results File","","Thu Jun 19 09:28:05 WAT 2025","passed","Thu Jun 19 09:28:05 WAT 2025","API TVC","Tests","",""
"Create Cloud Drive For Customer","1261","Create Cloud Drive For Customer","","Thu Jun 19 09:28:06 WAT 2025","passed","Thu Jun 19 09:28:07 WAT 2025","API TVC","Tests","",""
